text,threat_level,bns_section
mera gang hath pair tod dunga office me warna tera,High,BNS Section 351 (Criminal Intimidation)
tujhe toh khatam kar dunga teri family ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
teri toh main zinda gaad dunga bahar mil bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
yeh ladki dikh raha hai fraud harami,Medium,BNS Section 352 (Intentional Insult)
the group loved the pizza quickly,Low,None
the team coded the project perfectly,Low,None
bahar nikal jinda nahi chodunga you kal tak,High,BNS Section 351 (Criminal Intimidation)
i built the email very well,Low,None
tera baap lagta hai loser ekdum,Medium,BNS Section 352 (Intentional Insult)
our squad loved the game with ease,Low,None
tujhe main blast kar dunga teri family ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
yeh ladka hamesha behaves like pagal kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
yeh ladka hamesha behaves like kutta totally,Medium,BNS Section 352 (Intentional Insult)
tujhe main khatam kar dunga your sister last warning,High,BNS Section 351 (Criminal Intimidation)
teri maa hamesha rehta hai kutta bilkul,Medium,BNS Section 352 (Intentional Insult)
he hamesha rehta hai kaminay bilkul,Medium,BNS Section 352 (Intentional Insult)
nobody resolved the presentation tomorrow,Low,None
yeh ladka ban raha hai nalayak kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
iski sakal looks like a kaminay maha,Medium,BNS Section 352 (Intentional Insult)
i wrote the meeting smoothly,Low,None
our squad finished the project flawlessly,Low,None
the group wrote the meeting quickly,Low,None
address bhej rape karunga tere dosto ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
she loved the boss fight slowly,Low,None
you dikh raha hai nalla ghatiya,Medium,BNS Section 352 (Intentional Insult)
nobody coded the song last week,Low,None
the group smashed the pizza tonight,Low,None
the player killed the homework safely,Low,None
the group built the exam like a boss,Low,None
my sister completed the boss fight tonight,Low,None
the team liked the email tomorrow,Low,None
teri acts like a kaminay kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the manager saw the meeting without issues,Low,None
we saw the presentation very well,Low,None
yeh ladka acts like a gadha kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
our squad watched the level so hard,Low,None
the boss liked the email tonight,Low,None
my sister wrote the email so hard,Low,None
the teacher heard the bugs smoothly,Low,None
she read the song yesterday,Low,None
mera gang kat dunga tujhe kal tak,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh goli maar dunga tere dosto ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
hum log acid phek dunga college ke bahar kasam se,High,BNS Section 351 (Criminal Intimidation)
we are going to goli maar dunga bahar mil dekh liyo,High,BNS Section 351 (Criminal Intimidation)
bahar nikal kat dunga tere ghar walo ko kasam se,High,BNS Section 351 (Criminal Intimidation)
mere dost acid phek dunga tere dosto ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
bahar nikal maar maar ke suja dunga you dekh liyo,High,BNS Section 351 (Criminal Intimidation)
he played the pizza yesterday,Low,None
i designed the report today,Low,None
we played the bugs with ease,Low,None
teri hai ek fake maha,Medium,BNS Section 352 (Intentional Insult)
this guy dikh raha hai chor hamesha,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh hath pair tod dunga tujhe dekh liyo,High,BNS Section 351 (Criminal Intimidation)
teri maa acts like a nalla sabse bada,Medium,BNS Section 352 (Intentional Insult)
they wrote the assignment beautifully,Low,None
our squad coded the bugs flawlessly,Low,None
the player loved the meeting completely,Low,None
everyone enjoyed the assignment last week,Low,None
hum log zinda gaad dunga teri family ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
yeh banda acts like a kutta kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
isko dekho hai ek ugly ekdum,Medium,BNS Section 352 (Intentional Insult)
tum sab ban raha hai kaminay hamesha,Medium,BNS Section 352 (Intentional Insult)
nobody enjoyed the exam with ease,Low,None
my friend coded the song like a boss,Low,None
they played the report flawlessly,Low,None
hum murder kar dunga raat ko warna tera,High,BNS Section 351 (Criminal Intimidation)
everyone heard the exam beautifully,Low,None
tu hamesha behaves like kaminay disgusting,Medium,BNS Section 352 (Intentional Insult)
he completed the level very well,Low,None
tum log hamesha rehta hai kaminay sala,Medium,BNS Section 352 (Intentional Insult)
bahar nikal blast kar dunga office me dekh liyo,High,BNS Section 351 (Criminal Intimidation)
my brother enjoyed the email safely,Low,None
we are going to will tere ghar aake samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
hum jinda nahi chodunga your sister dekh liyo,High,BNS Section 351 (Criminal Intimidation)
i heard the meeting today,Low,None
address bhej will akela mil bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
iska bhai dikh raha hai chapri ghatiya,Medium,BNS Section 352 (Intentional Insult)
we built the report flawlessly,Low,None
teri toh main kat dunga bahar mil ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
woh looks like a gawar sala,Medium,BNS Section 352 (Intentional Insult)
yeh ladka hamesha behaves like chutiya faltu,Medium,BNS Section 352 (Intentional Insult)
he wrote the task perfectly,Low,None
teri maa hamesha rehta hai nalayak hamesha,Medium,BNS Section 352 (Intentional Insult)
teri toh main maar maar ke suja dunga tere ghar walo ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
teri samajhta hai khud ko chapri totally,Medium,BNS Section 352 (Intentional Insult)
the boss finished the project last week,Low,None
isko dekho acts like a chor disgusting,Medium,BNS Section 352 (Intentional Insult)
yeh banda ban raha hai chapri totally,Medium,BNS Section 352 (Intentional Insult)
teri toh main will tere dosto ko kasam se,High,BNS Section 351 (Criminal Intimidation)
mere dost maar maar ke suja dunga raste pe last warning,High,BNS Section 351 (Criminal Intimidation)
teri ban raha hai scammer disgusting,Medium,BNS Section 352 (Intentional Insult)
yeh banda acts like a chutiya sabse bada,Medium,BNS Section 352 (Intentional Insult)
that watched the pizza last week,Low,None
we played the bugs completely,Low,None
tum sab ban raha hai kamina kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
mera gang maar maar ke suja dunga tere dosto ko kasam se,High,BNS Section 351 (Criminal Intimidation)
tera baap lag raha hai bewakoof faltu,Medium,BNS Section 352 (Intentional Insult)
we loved the assignment perfectly,Low,None
the team saw the code today,Low,None
teri behan hamesha behaves like buddhu maha,Medium,BNS Section 352 (Intentional Insult)
that built the song smoothly,Low,None
tera baap is such a pagal sala,Medium,BNS Section 352 (Intentional Insult)
address bhej hath pair tod dunga teri family ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
my friend finished the assignment without issues,Low,None
the boss played the boss fight slowly,Low,None
address bhej jaan se maar dunga teri family ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
this guy acts like a chor bilkul,Medium,BNS Section 352 (Intentional Insult)
nobody smashed the level beautifully,Low,None
the teacher loved the meeting with ease,Low,None
everyone destroyed the presentation tomorrow,Low,None
we liked the meeting today,Low,None
main kidnap kar lunga tere ghar aake zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
tu ban raha hai kutta maha,Medium,BNS Section 352 (Intentional Insult)
mera gang jinda nahi chodunga tere ghar walo ko last warning,High,BNS Section 351 (Criminal Intimidation)
tu ban raha hai kutta hamesha,Medium,BNS Section 352 (Intentional Insult)
the manager destroyed the task quickly,Low,None
woh looks like a kutta harami,Medium,BNS Section 352 (Intentional Insult)
tujhe toh kat dunga teri family ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
mera bhai kat dunga tere ghar walo ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
that resolved the level beautifully,Low,None
the team read the report smoothly,Low,None
this enjoyed the pizza without issues,Low,None
teri toh main jinda nahi chodunga bahar mil kasam se,High,BNS Section 351 (Criminal Intimidation)
bahar nikal jaan se maar dunga office me ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh blast kar dunga akela mil aaj raat,High,BNS Section 351 (Criminal Intimidation)
the player found the report safely,Low,None
someone resolved the exam so hard,Low,None
our squad built the email beautifully,Low,None
tu acts like a kamina ekdum,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh gala daba dunga tere ghar aake zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
main jinda nahi chodunga raste pe kal tak,High,BNS Section 351 (Criminal Intimidation)
tum sab acts like a kutti bekaar,Medium,BNS Section 352 (Intentional Insult)
the boss killed the song like a boss,Low,None
teri maa samajhta hai khud ko kutta sabse bada,Medium,BNS Section 352 (Intentional Insult)
iski sakal hai ek fattu kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
you lagta hai kutta harami,Medium,BNS Section 352 (Intentional Insult)
tum sab is a loser hamesha,Medium,BNS Section 352 (Intentional Insult)
the boss smashed the game flawlessly,Low,None
my friend coded the level yesterday,Low,None
teri maa lag raha hai chor ghatiya,Medium,BNS Section 352 (Intentional Insult)
yeh ladka looks like a scammer maha,Medium,BNS Section 352 (Intentional Insult)
my friend built the game quickly,Low,None
yeh ladki acts like a ugly totally,Medium,BNS Section 352 (Intentional Insult)
main hath pair tod dunga your sister ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
this guy ban raha hai pagal maha,Medium,BNS Section 352 (Intentional Insult)
the group found the bugs safely,Low,None
he coded the project tonight,Low,None
tu dikh raha hai ugly sala,Medium,BNS Section 352 (Intentional Insult)
this watched the boss fight so hard,Low,None
everyone wrote the level smoothly,Low,None
the group coded the pizza without issues,Low,None
address bhej jinda nahi chodunga tujhe zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
address bhej maar maar ke suja dunga akela mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
the player destroyed the game without issues,Low,None
my sister coded the meeting yesterday,Low,None
hum rape karunga tere dosto ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
everyone resolved the email completely,Low,None
teri is a fattu ekdum,Medium,BNS Section 352 (Intentional Insult)
the team wrote the assignment tomorrow,Low,None
the manager noticed the task like a boss,Low,None
i will murder kar dunga tere dosto ko last warning,High,BNS Section 351 (Criminal Intimidation)
everyone read the task smoothly,Low,None
iski sakal looks like a scammer bilkul,Medium,BNS Section 352 (Intentional Insult)
yeh banda is a pagal pathetic,Medium,BNS Section 352 (Intentional Insult)
he ban raha hai gawar pathetic,Medium,BNS Section 352 (Intentional Insult)
yeh banda hai ek kutta sabse bada,Medium,BNS Section 352 (Intentional Insult)
the group played the game beautifully,Low,None
tu ban raha hai fake ekdum,Medium,BNS Section 352 (Intentional Insult)
teri behan is such a bhikhari disgusting,Medium,BNS Section 352 (Intentional Insult)
my brother noticed the game with ease,Low,None
someone coded the presentation quickly,Low,None
she dikh raha hai chor bekaar,Medium,BNS Section 352 (Intentional Insult)
tujhe toh goli maar dunga tujhe dekh liyo,High,BNS Section 351 (Criminal Intimidation)
teri is a nalla bekaar,Medium,BNS Section 352 (Intentional Insult)
mera bhai khatam kar dunga office me warna tera,High,BNS Section 351 (Criminal Intimidation)
tera baap lag raha hai kamina sabse bada,Medium,BNS Section 352 (Intentional Insult)
yeh ladki lag raha hai gawar pathetic,Medium,BNS Section 352 (Intentional Insult)
that created the level yesterday,Low,None
mera bhai kat dunga college ke bahar warna tera,High,BNS Section 351 (Criminal Intimidation)
she hamesha behaves like gawar bilkul,Medium,BNS Section 352 (Intentional Insult)
the team smashed the boss fight like a boss,Low,None
tera baap is a buddhu bilkul,Medium,BNS Section 352 (Intentional Insult)
woh lagta hai scammer maha,Medium,BNS Section 352 (Intentional Insult)
the group liked the meeting completely,Low,None
they enjoyed the project like a boss,Low,None
my friend designed the movie perfectly,Low,None
i completed the email last week,Low,None
i smashed the boss fight safely,Low,None
she resolved the report safely,Low,None
tum log is a buddhu bekaar,Medium,BNS Section 352 (Intentional Insult)
mera bhai will tere ghar aake kal tak,High,BNS Section 351 (Criminal Intimidation)
this liked the code last week,Low,None
this finished the bugs tomorrow,Low,None
iski sakal samajhta hai khud ko nalayak harami,Medium,BNS Section 352 (Intentional Insult)
my sister saw the presentation completely,Low,None
we noticed the boss fight very well,Low,None
woh looks like a chapri kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
tum log lag raha hai bewakoof kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
yeh ladki is such a bhikhari disgusting,Medium,BNS Section 352 (Intentional Insult)
tera baap ban raha hai chutiya faltu,Medium,BNS Section 352 (Intentional Insult)
the teacher fixed the movie so hard,Low,None
address bhej jaan se maar dunga tere ghar walo ko soch le,High,BNS Section 351 (Criminal Intimidation)
woh acts like a nalla hamesha,Medium,BNS Section 352 (Intentional Insult)
the teacher wrote the email like a boss,Low,None
mere dost kat dunga bahar mil bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
iski sakal hamesha rehta hai nalayak totally,Medium,BNS Section 352 (Intentional Insult)
i coded the code flawlessly,Low,None
she lag raha hai chor hamesha,Medium,BNS Section 352 (Intentional Insult)
hum log murder kar dunga bahar mil bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
hum log goli maar dunga tere dosto ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
iski sakal looks like a dhokebaaz kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
mera gang goli maar dunga your sister zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
iska bhai dikh raha hai loser ghatiya,Medium,BNS Section 352 (Intentional Insult)
teri maa hamesha rehta hai buddhu bilkul,Medium,BNS Section 352 (Intentional Insult)
tum log dikh raha hai buddhu hamesha,Medium,BNS Section 352 (Intentional Insult)
teri toh main zinda gaad dunga tere ghar walo ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
hum kidnap kar lunga tere dosto ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
we completed the presentation today,Low,None
teri behan lagta hai gawar kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
my friend created the assignment completely,Low,None
bahar nikal zinda gaad dunga you samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
she hamesha rehta hai ugly pathetic,Medium,BNS Section 352 (Intentional Insult)
everyone killed the homework tonight,Low,None
we are going to acid phek dunga akela mil kal tak,High,BNS Section 351 (Criminal Intimidation)
main will raat ko soch le,High,BNS Section 351 (Criminal Intimidation)
tu ban raha hai dhokebaaz kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
my friend enjoyed the bugs safely,Low,None
someone loved the assignment slowly,Low,None
teri ban raha hai kaminay hamesha,Medium,BNS Section 352 (Intentional Insult)
this wrote the bugs tomorrow,Low,None
that saw the level flawlessly,Low,None
teri hamesha behaves like kutti ekdum,Medium,BNS Section 352 (Intentional Insult)
iski sakal acts like a chutiya hamesha,Medium,BNS Section 352 (Intentional Insult)
yeh banda lagta hai bewakoof maha,Medium,BNS Section 352 (Intentional Insult)
bahar nikal gala daba dunga college ke bahar beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
hum log gala daba dunga you beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
she looks like a nalla hamesha,Medium,BNS Section 352 (Intentional Insult)
she noticed the song safely,Low,None
teri toh main will office me warna tera,High,BNS Section 351 (Criminal Intimidation)
this created the assignment very well,Low,None
the manager noticed the assignment today,Low,None
the group played the level like a boss,Low,None
iska bhai hamesha behaves like gadha ekdum,Medium,BNS Section 352 (Intentional Insult)
my brother read the homework tonight,Low,None
she fixed the homework perfectly,Low,None
you acts like a chor ghatiya,Medium,BNS Section 352 (Intentional Insult)
yeh banda is a loser disgusting,Medium,BNS Section 352 (Intentional Insult)
this built the meeting completely,Low,None
yeh ladki lagta hai nalla maha,Medium,BNS Section 352 (Intentional Insult)
i created the boss fight so hard,Low,None
everyone heard the movie with ease,Low,None
you hai ek kaminay sabse bada,Medium,BNS Section 352 (Intentional Insult)
he hamesha behaves like kamina sabse bada,Medium,BNS Section 352 (Intentional Insult)
the team saw the assignment like a boss,Low,None
isko dekho hamesha behaves like nalayak bekaar,Medium,BNS Section 352 (Intentional Insult)
the group saw the meeting tonight,Low,None
hum kat dunga akela mil ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
yeh banda lagta hai bewakoof ghatiya,Medium,BNS Section 352 (Intentional Insult)
the boss enjoyed the report without issues,Low,None
this enjoyed the presentation beautifully,Low,None
i will khatam kar dunga tere dosto ko soch le,High,BNS Section 351 (Criminal Intimidation)
this liked the pizza with ease,Low,None
yeh ladka lagta hai kamina sabse bada,Medium,BNS Section 352 (Intentional Insult)
the team designed the meeting tomorrow,Low,None
isko dekho acts like a kamina kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
we are going to maar maar ke suja dunga tere dosto ko bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
the group found the report safely,Low,None
tum sab lagta hai fattu sala,Medium,BNS Section 352 (Intentional Insult)
tujhe toh kat dunga your sister bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
tum log dikh raha hai gadha harami,Medium,BNS Section 352 (Intentional Insult)
nobody wrote the homework smoothly,Low,None
nobody loved the report like a boss,Low,None
we are going to khatam kar dunga tujhe chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
this fixed the project yesterday,Low,None
my brother fixed the homework last week,Low,None
the player watched the pizza completely,Low,None
tum log dikh raha hai kamina kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
iska bhai hamesha rehta hai buddhu ekdum,Medium,BNS Section 352 (Intentional Insult)
nobody enjoyed the bugs completely,Low,None
bahar nikal jinda nahi chodunga you soch le,High,BNS Section 351 (Criminal Intimidation)
the teacher heard the project very well,Low,None
i liked the boss fight yesterday,Low,None
mera gang murder kar dunga raat ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
that fixed the bugs beautifully,Low,None
iska bhai hai ek kutta sabse bada,Medium,BNS Section 352 (Intentional Insult)
hum log acid phek dunga bahar mil aaj raat,High,BNS Section 351 (Criminal Intimidation)
iska bhai samajhta hai khud ko bhikhari harami,Medium,BNS Section 352 (Intentional Insult)
everyone loved the boss fight completely,Low,None
main kat dunga you ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
the boss smashed the meeting safely,Low,None
tum log acts like a fake ekdum,Medium,BNS Section 352 (Intentional Insult)
tujhe toh zinda gaad dunga akela mil ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
mere dost gala daba dunga you samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
my friend enjoyed the exam so hard,Low,None
everyone loved the project safely,Low,None
the group heard the game yesterday,Low,None
my brother found the pizza quickly,Low,None
isko dekho ban raha hai nalla maha,Medium,BNS Section 352 (Intentional Insult)
nobody created the exam tonight,Low,None
my sister finished the task slowly,Low,None
they liked the song tonight,Low,None
we are going to will tere ghar walo ko soch le,High,BNS Section 351 (Criminal Intimidation)
that wrote the presentation quickly,Low,None
everyone saw the meeting smoothly,Low,None
the teacher watched the assignment last week,Low,None
yeh ladki is a gawar faltu,Medium,BNS Section 352 (Intentional Insult)
hum log jaan se maar dunga tujhe beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
teri behan is a bewakoof pathetic,Medium,BNS Section 352 (Intentional Insult)
this guy dikh raha hai ugly kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
my brother liked the homework without issues,Low,None
tum log ban raha hai gadha disgusting,Medium,BNS Section 352 (Intentional Insult)
this played the email flawlessly,Low,None
they smashed the report quickly,Low,None
our squad enjoyed the project so hard,Low,None
our squad coded the pizza tomorrow,Low,None
tu hai ek kaminay kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
address bhej murder kar dunga tujhe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
nobody finished the boss fight slowly,Low,None
the player destroyed the boss fight very well,Low,None
you acts like a kutta bilkul,Medium,BNS Section 352 (Intentional Insult)
she saw the boss fight very well,Low,None
you lagta hai kutta disgusting,Medium,BNS Section 352 (Intentional Insult)
yeh banda is such a fake totally,Medium,BNS Section 352 (Intentional Insult)
bahar nikal rape karunga college ke bahar last warning,High,BNS Section 351 (Criminal Intimidation)
that resolved the boss fight without issues,Low,None
teri maa lagta hai fattu kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
yeh ladki hai ek gadha faltu,Medium,BNS Section 352 (Intentional Insult)
she built the project smoothly,Low,None
yeh ladki acts like a nalla kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
iski sakal is such a kutta bilkul,Medium,BNS Section 352 (Intentional Insult)
the teacher loved the level yesterday,Low,None
hum log rape karunga tere dosto ko soch le,High,BNS Section 351 (Criminal Intimidation)
main blast kar dunga your sister zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
this guy hai ek nalla kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
my friend completed the exam perfectly,Low,None
tujhe toh blast kar dunga tere ghar aake bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
we are going to acid phek dunga office me soch le,High,BNS Section 351 (Criminal Intimidation)
main khatam kar dunga your sister zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
the boss fixed the homework beautifully,Low,None
mera gang rape karunga your sister soch le,High,BNS Section 351 (Criminal Intimidation)
that finished the level tomorrow,Low,None
our squad killed the bugs quickly,Low,None
teri toh main jinda nahi chodunga tujhe ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
he hamesha rehta hai fake hamesha,Medium,BNS Section 352 (Intentional Insult)
teri toh main murder kar dunga your sister ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
tera baap hamesha rehta hai gadha maha,Medium,BNS Section 352 (Intentional Insult)
bahar nikal jaan se maar dunga tere dosto ko last warning,High,BNS Section 351 (Criminal Intimidation)
address bhej kidnap kar lunga tujhe last warning,High,BNS Section 351 (Criminal Intimidation)
he acts like a kaminay ekdum,Medium,BNS Section 352 (Intentional Insult)
iska bhai ban raha hai bewakoof ghatiya,Medium,BNS Section 352 (Intentional Insult)
we created the bugs completely,Low,None
hum kat dunga akela mil last warning,High,BNS Section 351 (Criminal Intimidation)
you is such a buddhu faltu,Medium,BNS Section 352 (Intentional Insult)
tera baap is a chapri maha,Medium,BNS Section 352 (Intentional Insult)
i finished the presentation without issues,Low,None
apna time ayega toh khatam kar dunga raat ko warna tera,High,BNS Section 351 (Criminal Intimidation)
i read the email tomorrow,Low,None
we wrote the movie so hard,Low,None
yeh ladki lag raha hai chapri hamesha,Medium,BNS Section 352 (Intentional Insult)
yeh ladki lagta hai kaminay disgusting,Medium,BNS Section 352 (Intentional Insult)
the teacher built the presentation tonight,Low,None
she killed the dance performance chalo theek hai,Low,None
yeh ladka dikh raha hai scammer disgusting,Medium,BNS Section 352 (Intentional Insult)
they destroyed the game like a boss,Low,None
the team saw the code perfectly,Low,None
mere dost acid phek dunga your sister soch le,High,BNS Section 351 (Criminal Intimidation)
tujhe toh khatam kar dunga raat ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
the team loved the email without issues,Low,None
tera baap dikh raha hai kaminay sala,Medium,BNS Section 352 (Intentional Insult)
yeh ladka lag raha hai kamina pathetic,Medium,BNS Section 352 (Intentional Insult)
the player completed the boss fight yesterday,Low,None
teri behan acts like a fraud totally,Medium,BNS Section 352 (Intentional Insult)
tera baap dikh raha hai bewakoof kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the player heard the presentation very well,Low,None
mera bhai hath pair tod dunga teri family ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
tu is a nalayak faltu,Medium,BNS Section 352 (Intentional Insult)
the manager watched the presentation perfectly,Low,None
my sister wrote the project quickly,Low,None
teri behan dikh raha hai chor faltu,Medium,BNS Section 352 (Intentional Insult)
yeh ladki lag raha hai bhikhari totally,Medium,BNS Section 352 (Intentional Insult)
mera gang gala daba dunga raat ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
bahar nikal gala daba dunga office me zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
the player completed the assignment smoothly,Low,None
main goli maar dunga akela mil kal tak,High,BNS Section 351 (Criminal Intimidation)
tu lagta hai chapri sala,Medium,BNS Section 352 (Intentional Insult)
tera baap dikh raha hai bewakoof kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
she destroyed the assignment smoothly,Low,None
the group loved the game very well,Low,None
i enjoyed the pizza with ease,Low,None
yeh ladki hamesha behaves like nalayak bilkul,Medium,BNS Section 352 (Intentional Insult)
tu samajhta hai khud ko scammer kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the teacher liked the project yesterday,Low,None
he heard the song yesterday,Low,None
this guy ban raha hai buddhu harami,Medium,BNS Section 352 (Intentional Insult)
tera baap hamesha behaves like gadha sala,Medium,BNS Section 352 (Intentional Insult)
teri lagta hai nalla faltu,Medium,BNS Section 352 (Intentional Insult)
someone smashed the movie slowly,Low,None
i coded the assignment smoothly,Low,None
tum sab lagta hai fake faltu,Medium,BNS Section 352 (Intentional Insult)
he shot the video perfectly chalo theek hai,Low,None
teri behan lag raha hai fraud totally,Medium,BNS Section 352 (Intentional Insult)
yeh ladka lagta hai chor pathetic,Medium,BNS Section 352 (Intentional Insult)
the player watched the project slowly,Low,None
the team designed the bugs beautifully,Low,None
she killed the dance performance ek number,Low,None
that watched the movie tomorrow,Low,None
she smashed the level with ease,Low,None
hum zinda gaad dunga tujhe zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
yeh banda lagta hai kamina bekaar,Medium,BNS Section 352 (Intentional Insult)
mera gang acid phek dunga your sister dekh liyo,High,BNS Section 351 (Criminal Intimidation)
we are going to jinda nahi chodunga bahar mil dekh liyo,High,BNS Section 351 (Criminal Intimidation)
we are going to murder kar dunga tujhe last warning,High,BNS Section 351 (Criminal Intimidation)
you samajhta hai khud ko nalla kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
my brother resolved the exam very well,Low,None
they built the code perfectly,Low,None
they created the exam last week,Low,None
teri behan lagta hai nalla kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
tum sab ban raha hai gadha ghatiya,Medium,BNS Section 352 (Intentional Insult)
yeh ladka acts like a kamina ekdum,Medium,BNS Section 352 (Intentional Insult)
tum log is a scammer pathetic,Medium,BNS Section 352 (Intentional Insult)
he is a gadha pathetic,Medium,BNS Section 352 (Intentional Insult)
the group finished the task very well,Low,None
the player fixed the code tomorrow,Low,None
the manager played the meeting completely,Low,None
my brother finished the meeting with ease,Low,None
bahar nikal goli maar dunga tere ghar walo ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh jaan se maar dunga raste pe kasam se,High,BNS Section 351 (Criminal Intimidation)
she lagta hai nalayak kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
this guy acts like a fattu totally,Medium,BNS Section 352 (Intentional Insult)
yeh banda looks like a chapri kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the boss coded the homework today,Low,None
our squad noticed the code like a boss,Low,None
tera baap acts like a pagal kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the manager designed the song with ease,Low,None
mera bhai murder kar dunga tere dosto ko last warning,High,BNS Section 351 (Criminal Intimidation)
my brother coded the pizza beautifully,Low,None
my brother built the exam today,Low,None
someone smashed the meeting completely,Low,None
this guy hai ek fraud sala,Medium,BNS Section 352 (Intentional Insult)
we wrote the game perfectly,Low,None
tum log hai ek buddhu bekaar,Medium,BNS Section 352 (Intentional Insult)
nobody killed the assignment beautifully,Low,None
yeh banda hai ek fake maha,Medium,BNS Section 352 (Intentional Insult)
tera baap acts like a kutta sabse bada,Medium,BNS Section 352 (Intentional Insult)
address bhej goli maar dunga you kal tak,High,BNS Section 351 (Criminal Intimidation)
teri toh main goli maar dunga tere ghar walo ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
